project,message,level,rule_id,location,report_name
NLog,"Read/Write race. Non-private method `MethodFactory.TryGetDefinition(...)` reads without synchronization from container `this.NLog.Config.MethodFactory._nameToMethodInfo` via call to `Dictionary`2<!0,!1>.TryGetValue(...)`. Potentially races with write in method `MethodFactory.RegisterDefinition(...)`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Config/MethodFactory.cs 281:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Resource dynamically allocated by constructor NLog.Targets.ConsoleTarget() on line 63 is not closed after the last access at line 67, column 13.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Config/SimpleConfigurator.cs 67:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `GlobalDiagnosticsContext.Get(...)` indirectly reads without synchronization from `NLog.GlobalDiagnosticsContext.NLog.GlobalDiagnosticsContext._dictReadOnly`. Potentially races with write in method `GlobalDiagnosticsContext.Clear()`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Contexts/GlobalDiagnosticsContext.cs 81:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `GlobalDiagnosticsContext.Get(...)` indirectly reads without synchronization from `NLog.GlobalDiagnosticsContext.NLog.GlobalDiagnosticsContext._dictReadOnly`. Potentially races with write in method `GlobalDiagnosticsContext.Clear()`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Contexts/GlobalDiagnosticsContext.cs 93:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `GlobalDiagnosticsContext.GetObject(...)` indirectly reads without synchronization from `NLog.GlobalDiagnosticsContext.NLog.GlobalDiagnosticsContext._dictReadOnly`. Potentially races with write in method `GlobalDiagnosticsContext.Clear()`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Contexts/GlobalDiagnosticsContext.cs 103:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `GlobalDiagnosticsContext.GetNames()` indirectly reads without synchronization from `NLog.GlobalDiagnosticsContext.NLog.GlobalDiagnosticsContext._dictReadOnly`. Potentially races with write in method `GlobalDiagnosticsContext.Clear()`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Contexts/GlobalDiagnosticsContext.cs 113:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `GlobalDiagnosticsContext.Contains(...)` indirectly reads without synchronization from `NLog.GlobalDiagnosticsContext.NLog.GlobalDiagnosticsContext._dictReadOnly`. Potentially races with write in method `GlobalDiagnosticsContext.Clear()`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Contexts/GlobalDiagnosticsContext.cs 123:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `GlobalDiagnosticsContext.GetReadOnlyDict()` reads without synchronization from `NLog.GlobalDiagnosticsContext.NLog.GlobalDiagnosticsContext._dictReadOnly`. Potentially races with write in method `GlobalDiagnosticsContext.Clear()`.
 Reporting because this access may occur on a background thread.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Contexts/GlobalDiagnosticsContext.cs 157:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Resource dynamically allocated by constructor System.Net.Sockets.Socket(), indirectly via call to `SocketProxy(...)` on line 79 is not closed after the last access at line 89, column 17.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Internal/NetworkSenders/TcpNetworkSender.cs 89:17,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `FileContentsLayoutRenderer.Append(...)` reads without synchronization from `this.NLog.LayoutRenderers.FileContentsLayoutRenderer._currentFileContents`. Potentially races with write in method `FileContentsLayoutRenderer.Append(...)`.
 Reporting because this access may occur on a background thread.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/LayoutRenderers/FileContentsLayoutRenderer.cs 96:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Unprotected write. Non-private method `CachedLayoutRendererWrapper.InitializeLayoutRenderer()` writes to field `this.NLog.LayoutRenderers.Wrappers.CachedLayoutRendererWrapper._cachedValue` outside of synchronization.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/LayoutRenderers/Wrappers/CachedLayoutRendererWrapper.cs 112:17,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Unprotected write. Non-private method `CachedLayoutRendererWrapper.CloseLayoutRenderer()` writes to field `this.NLog.LayoutRenderers.Wrappers.CachedLayoutRendererWrapper._cachedValue` outside of synchronization.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/LayoutRenderers/Wrappers/CachedLayoutRendererWrapper.cs 120:17,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `CachedLayoutRendererWrapper.RenderInner(...)` indirectly reads without synchronization from `this.NLog.LayoutRenderers.Wrappers.CachedLayoutRendererWrapper.<Cached>k__BackingField`. Potentially races with write in method `CachedLayoutRendererWrapper.set_CachedSeconds(...)`.
 Reporting because this access may occur on a background thread.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/LayoutRenderers/Wrappers/CachedLayoutRendererWrapper.cs 132:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `CachedLayoutRendererWrapper.RenderInner(...)` indirectly reads without synchronization from `this.NLog.LayoutRenderers.Wrappers.CachedLayoutRendererWrapper.<CacheKey>k__BackingField`. Potentially races with write in method `CachedLayoutRendererWrapper.set_CacheKey(...)`.
 Reporting because this access may occur on a background thread.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/LayoutRenderers/Wrappers/CachedLayoutRendererWrapper.cs 134:17,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `CachedLayoutRendererWrapper.RenderInner(...)` indirectly reads without synchronization from `this.NLog.LayoutRenderers.Wrappers.CachedLayoutRendererWrapper._cachedValue`. Potentially races with write in method `CachedLayoutRendererWrapper.RenderInner(...)`.
 Reporting because this access may occur on a background thread.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/LayoutRenderers/Wrappers/CachedLayoutRendererWrapper.cs 135:17,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `LogFactory.get_GlobalThreshold()` reads without synchronization from `this.NLog.LogFactory._globalThreshold`. Potentially races with write in method `LogFactory.set_GlobalThreshold(...)`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/LogFactory.cs 363:20,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `LogFactory.IsLoggingEnabled()` reads without synchronization from `this.NLog.LogFactory._supendLoggingCounter`. Potentially races with write in method `LogFactory.ResumeLogging()`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/LogFactory.cs 840:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `LogFactory.BuildLoggerConfiguration(...)` indirectly reads without synchronization from `this.NLog.LogFactory._globalThreshold`. Potentially races with write in method `LogFactory.set_GlobalThreshold(...)`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/LogFactory.cs 870:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `LogFactory.Shutdown()` reads without synchronization from `this.NLog.LogFactory._configLoaded`. Potentially races with write in method `LogFactory.Shutdown()`.
 Reporting because this access may occur on a background thread.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/LogFactory.cs 1021:9,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `LogManager.IsHiddenAssembly(...)` reads without synchronization from `NLog.LogManager.NLog.LogManager._hiddenAssemblies`. Potentially races with write in method `LogManager.AddHiddenAssembly(...)`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/LogManager.cs 195:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Resource dynamically allocated by constructor NLog.Targets.NullTarget() on line 353 is not closed after the last access at line 357, column 13.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/SetupLoadConfigurationExtensions.cs 357:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Resource dynamically allocated by constructor System.Net.Mail.MailMessage() on line 576 is not closed after the last access at line 580, column 13.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Targets/MailTarget.cs 580:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `AsyncTargetWrapper.CloseTarget()` indirectly reads without synchronization from `this.NLog.Targets.Wrappers.AsyncTargetWrapper._requestQueue.NLog.Targets.Wrappers.AsyncRequestQueueBase.<OnOverflow>k__BackingField`. Potentially races with write in method `AsyncTargetWrapper.set_OverflowAction(...)`.
 Reporting because this access may occur on a background thread.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Targets/Wrappers/AsyncTargetWrapper.cs 320:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `AsyncTargetWrapper.StartLazyWriterTimer()` indirectly reads without synchronization from `this.NLog.Targets.Wrappers.AsyncTargetWrapper.<TimeToSleepBetweenBatches>k__BackingField`. Potentially races with write in method `AsyncTargetWrapper.set_TimeToSleepBetweenBatches(...)`.
 Reporting because this access may occur on a background thread.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Targets/Wrappers/AsyncTargetWrapper.cs 334:13,NLog_src_NLog.WindowsRegistry.sarif
moq4,"Resource dynamically allocated by constructor Moq.Tests.Matchers.AnyMatcherFixture$Disposable() on line 40 is not closed after the last access at line 40, column 4.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/moq4/tests/Moq.Tests/Matchers/AnyMatcherFixture.cs 40:4,moq4_tests_Moq.Tests.sarif
litedb,"Read/Write race. Non-private method `BsonMapper.Entity()` indirectly reads without synchronization from container `this.LiteDB.BsonMapper._entities` via call to `Dictionary`2<!0,!1>.TryGetValue(...)`. Potentially races with write in method `BsonMapper.GetEntityMapper(...)`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Mapper/BsonMapper.cs 168:13,litedb_LiteDB.sarif
litedb,"Read/Write race. Non-private method `BsonMapper.GetEntityMapper(...)` reads without synchronization from container `this.LiteDB.BsonMapper._entities` via call to `Dictionary`2<!0,!1>.TryGetValue(...)`. Potentially races with write in method `BsonMapper.Entity()`.
 Reporting because this access may occur on a background thread.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Mapper/BsonMapper.cs 238:13,litedb_LiteDB.sarif
litedb,"Read/Write race. Non-private method `Reflection.CreateInstance(...)` reads without synchronization from container `LiteDB.Reflection.LiteDB.Reflection._cacheCtor` via call to `Dictionary`2<!0,!1>.TryGetValue(...)`. Potentially races with write in method `Reflection.CreateInstance(...)`.
 Reporting because this access may occur on a background thread.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Mapper/Reflection/Reflection.cs 39:17,litedb_LiteDB.sarif
litedb,"Resource dynamically allocated by constructor System.IO.FileStream() on line 50 is not closed after the last access at line 55, column 13.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Engine/Disk/StreamFactory/FileStreamFactory.cs 55:13,litedb_LiteDB.sarif
litedb,"Resource dynamically allocated by constructor LiteDB.Engine.ConcurrentStream() on line 41 is not closed after the last access at line 41, column 17.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Engine/Disk/StreamFactory/StreamFactory.cs 41:17,litedb_LiteDB.sarif
litedb,"Read/Write race. Non-private method `ConcurrentStream.get_Position()` reads without synchronization from `this.LiteDB.Engine.ConcurrentStream._position`. Potentially races with write in method `ConcurrentStream.Read(...)`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Engine/Disk/Streams/ConcurrentStream.cs 32:48,litedb_LiteDB.sarif
litedb,"Unprotected write. Non-private method `ConcurrentStream.set_Position(...)` writes to field `this.LiteDB.Engine.ConcurrentStream._position` outside of synchronization.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Engine/Disk/Streams/ConcurrentStream.cs 32:66,litedb_LiteDB.sarif
litedb,`last` could be null (from the call to `IndexService.GetNode(...)` on line 229) and is dereferenced.,error,NULLPTR_DEREFERENCE,file:/home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Engine/Services/IndexService.cs 230:13,litedb_LiteDB.sarif
litedb,"Read/Write race. Non-private method `Snapshot.ToString()` reads without synchronization from container `this.LiteDB.Engine.Snapshot._localPages` via call to `Dictionary`2<!0,!1>.get_Count()`. Potentially races with write in method `Snapshot.NewPage()`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Engine/Services/SnapShot.cs 632:13,litedb_LiteDB.sarif
nunit.sarif,"Resource dynamically allocated by constructor System.Threading.ReaderWriterLockSlim(), indirectly via call to `TestContext.get_CurrentContext()` on line 13 is not closed after the last access at line 13, column 50.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/SchemaTestUtils.cs 13:50,nunit.sarif
nunit.sarif,"Resource dynamically allocated by constructor NUnit.Framework.Internal.Execution.CompositeWorkItem(), indirectly via call to `TestBuilder.CreateWorkItem(...)` on line 164 is not closed after the last access at line 164, column 13.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/TestBuilder.cs 164:13,nunit.sarif
nunit.sarif,"Resource dynamically allocated by constructor NUnit.Framework.Internal.Execution.EventListenerTextWriter() on line 251 is not closed after the last access at line 251, column 13.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Api/NUnitTestAssemblyRunner.cs 251:13,nunit.sarif
nunit.sarif,"Resource dynamically allocated by constructor System.Threading.ReaderWriterLockSlim(), indirectly via call to `TestExecutionContext$IsolatedContext()` on line 29 is not closed after the last access at line 39, column 13.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Assert.Exceptions.cs 39:13,nunit.sarif
nunit.sarif,"Resource dynamically allocated by constructor System.Threading.ReaderWriterLockSlim(), indirectly via call to `TestExecutionContext.get_CurrentContext()` on line 304 is not closed after the last access at line 318, column 13.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Assert.cs 318:13,nunit.sarif
nunit.sarif,"Resource dynamically allocated by constructor System.Threading.ReaderWriterLockSlim(), indirectly via call to `TestExecutionContext.get_CurrentContext()` on line 374 is not closed after the last access at line 379, column 13.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Assert.cs 379:13,nunit.sarif
nunit.sarif,"Resource dynamically allocated by constructor System.Threading.ReaderWriterLockSlim(), indirectly via call to `TestExecutionContext.get_CurrentContext()` on line 379 is not closed after the last access at line 379, column 13.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Assert.cs 379:13,nunit.sarif
nunit.sarif,"Resource dynamically allocated by constructor System.Threading.ReaderWriterLockSlim(), indirectly via call to `TestExecutionContext.get_CurrentContext()` on line 385 is not closed after the last access at line 386, column 13.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Assert.cs 386:13,nunit.sarif
nunit.sarif,"Resource dynamically allocated by constructor System.Threading.ReaderWriterLockSlim(), indirectly via call to `TestExecutionContext.get_CurrentContext()` on line 417 is not closed after the last access at line 417, column 13.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Assert.cs 417:13,nunit.sarif
nunit.sarif,"Resource dynamically allocated by constructor System.Threading.ReaderWriterLockSlim(), indirectly via call to `TestExecutionContext.get_CurrentContext()` on line 279 is not closed after the last access at line 279, column 13.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Assume.cs 279:13,nunit.sarif
nunit.sarif,"Resource dynamically allocated by constructor System.Threading.ReaderWriterLockSlim(), indirectly via call to `TestExecutionContext.get_CurrentContext()` on line 135 is not closed after the last access at line 138, column 17.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Constraints/MsgUtils.cs 138:17,nunit.sarif
nunit.sarif,"Resource dynamically allocated by constructor System.Threading.ManualResetEventSlim(), indirectly via call to `CompositeWorkItem$OneTimeTearDownWorkItem(...)` on line 374 is not closed after the last access at line 374, column 17.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Internal/Execution/CompositeWorkItem.cs 374:17,nunit.sarif
nunit.sarif,"Resource dynamically allocated by constructor System.Threading.ReaderWriterLockSlim(), indirectly via call to `TestExecutionContext.get_CurrentContext()` on line 47 is not closed after the last access at line 48, column 13.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Internal/Execution/EventListenerTextWriter.cs 48:13,nunit.sarif
nunit.sarif,"Resource dynamically allocated by constructor System.Threading.ReaderWriterLockSlim(), indirectly via call to `TestExecutionContext.get_CurrentContext()` on line 47 is not closed after the last access at line 51, column 13.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Internal/Execution/EventListenerTextWriter.cs 51:13,nunit.sarif
nunit.sarif,"Unprotected write. Non-private method `TestWorker.Cancel(...)` writes to field `this.NUnit.Framework.Internal.Execution.TestWorker._running` outside of synchronization.
 Reporting because this access may occur on a background thread.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Internal/Execution/TestWorker.cs 157:17,nunit.sarif
nunit.sarif,"Resource dynamically allocated by constructor System.Threading.ReaderWriterLockSlim(), indirectly via call to `TestExecutionContext.get_CurrentContext()` on line 40 is not closed after the last access at line 43, column 17.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Internal/Execution/TextCapture.cs 43:17,nunit.sarif
nunit.sarif,"Resource dynamically allocated by constructor System.Threading.ReaderWriterLockSlim(), indirectly via call to `TestExecutionContext.get_CurrentContext()` on line 54 is not closed after the last access at line 57, column 17.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Internal/Execution/TextCapture.cs 57:17,nunit.sarif
nunit.sarif,"Resource dynamically allocated by constructor System.Threading.ReaderWriterLockSlim(), indirectly via call to `TestExecutionContext.get_CurrentContext()` on line 68 is not closed after the last access at line 71, column 17.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Internal/Execution/TextCapture.cs 71:17,nunit.sarif
nunit.sarif,"Read/Write race. Non-private method `WorkItem.get_State()` reads without synchronization from `this.NUnit.Framework.Internal.Execution.WorkItem.<State>k__BackingField`. Potentially races with write in method `WorkItem.Cancel(...)`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/nunit/src/NUnitFramework/framework/Internal/Execution/WorkItem.cs 105:38,nunit.sarif
